Slope_Pct,Aspect,Tri_Index,Node_Index,TinNod.xyz
5.385164807,68.19859051,1135,366,"316110.22,2898848.82,185"
5.385164807,68.19859051,1135,571,"316410.22,2898548.82,176"
7.156970185,62.2414594,1133,366,"316110.22,2898848.82,185"
7.156970185,62.2414594,1133,571,"316410.22,2898548.82,176"
7.156970185,62.2414594,1133,839,"316110.22,2898548.82,195"
9.285592185,68.96248897,1117,366,"316110.22,2898848.82,185"
9.285592185,68.96248897,1117,839,"316110.22,2898548.82,195"
9.285592185,68.96248897,1117,832,"315810.22,2898848.82,211"
9.718253158,202.1663458,1672,839,"316110.22,2898548.82,195"
9.718253158,202.1663458,1672,832,"315810.22,2898848.82,211"
9.718253158,202.1663458,1672,1087,"315810.22,2898548.82,184"
9.098229376,171.573031,2167,832,"315810.22,2898848.82,211"
9.098229376,171.573031,2167,1087,"315810.22,2898548.82,184"
9.098229376,171.573031,2167,570,"315510.22,2898548.82,188"
8.724168219,173.4180553,1658,832,"315810.22,2898848.82,211"
8.724168219,173.4180553,1658,570,"315510.22,2898548.82,188"
8.724168219,173.4180553,1658,1076,"315510.22,2898848.82,214"
8.894442709,167.0053832,2145,570,"315510.22,2898548.82,188"
8.894442709,167.0053832,2145,1076,"315510.22,2898848.82,214"
8.894442709,167.0053832,2145,1075,"315210.22,2898848.82,220"
12.16552506,170.5376778,726,825,"315510.22,2899148.82,250"
12.16552506,170.5376778,726,1076,"315510.22,2898848.82,214"
12.16552506,170.5376778,726,1075,"315210.22,2898848.82,220"
19.43650632,67.83365418,1655,570,"315510.22,2898548.82,188"
19.43650632,67.83365418,1655,1075,"315210.22,2898848.82,220"
19.43650632,67.83365418,1655,838,"315210.22,2898548.82,242"
8.517954893,30.57922687,2143,1075,"315210.22,2898848.82,220"
8.517954893,30.57922687,2143,838,"315210.22,2898548.82,242"
8.517954893,30.57922687,2143,831,"314910.22,2898848.82,233"
4.533823503,107.102729,1669,561,"315210.22,2899148.82,224"
4.533823503,107.102729,1669,1075,"315210.22,2898848.82,220"
4.533823503,107.102729,1669,831,"314910.22,2898848.82,233"
9.433981132,122.0053832,2126,561,"315210.22,2899148.82,224"
9.433981132,122.0053832,2126,831,"314910.22,2898848.82,233"
9.433981132,122.0053832,2126,1066,"314910.22,2899148.82,248"
9.153020145,236.888658,1630,831,"314910.22,2898848.82,233"
9.153020145,236.888658,1630,1066,"314910.22,2899148.82,248"
9.153020145,236.888658,1630,824,"314610.22,2899148.82,225"
16.13829125,38.29016319,1656,831,"314910.22,2898848.82,233"
16.13829125,38.29016319,1656,824,"314610.22,2899148.82,225"
16.13829125,38.29016319,1656,365,"314610.22,2898848.82,263"
18.39081897,313.5311993,1641,824,"314610.22,2899148.82,225"
18.39081897,313.5311993,1641,365,"314610.22,2898848.82,263"
18.39081897,313.5311993,1641,830,"314310.22,2898848.82,223"
3.333333333,143.1301024,2107,824,"314610.22,2899148.82,225"
3.333333333,143.1301024,2107,830,"314310.22,2898848.82,223"
3.333333333,143.1301024,2107,1065,"314310.22,2899148.82,231"
27.40640639,175.8150839,2124,824,"314610.22,2899148.82,225"
27.40640639,175.8150839,2124,1065,"314310.22,2899148.82,231"
27.40640639,175.8150839,2124,1057,"314310.22,2899448.82,313"
21.17125934,146.5601308,2451,824,"314610.22,2899148.82,225"
21.17125934,146.5601308,2451,1057,"314310.22,2899448.82,313"
21.17125934,146.5601308,2451,1229,"314610.22,2899448.82,278"
19.80179565,143.901716,1642,1057,"314310.22,2899448.82,313"
19.80179565,143.901716,1642,1229,"314610.22,2899448.82,278"
19.80179565,143.901716,1642,1219,"314610.22,2899748.82,326"
30.8130564,121.2826537,2452,1047,"314910.22,2899748.82,247"
30.8130564,121.2826537,2452,1229,"314610.22,2899448.82,278"
30.8130564,121.2826537,2452,1219,"314610.22,2899748.82,326"
11.0201835,93.46822926,2431,1047,"314910.22,2899748.82,247"
11.0201835,93.46822926,2431,1229,"314610.22,2899448.82,278"
11.0201835,93.46822926,2431,1230,"314910.22,2899448.82,245"
11.04536102,84.80557109,2454,1066,"314910.22,2899148.82,248"
11.04536102,84.80557109,2454,1229,"314610.22,2899448.82,278"
11.04536102,84.80557109,2454,1230,"314910.22,2899448.82,245"
2.848001248,290.5560452,2088,818,"315210.22,2899448.82,253"
2.848001248,290.5560452,2088,1066,"314910.22,2899148.82,248"
2.848001248,290.5560452,2088,1230,"314910.22,2899448.82,245"
